,frame,x_raw,y_raw,r,sig_raw,peak,mass,mean,std,A,x,y,sig_x,sig_y,phi,area,dist_err,sigx_to_sigraw,sigy_to_sigraw,particle,delta_area,D,alpha,dist_to_boundary,dist_to_53bp1
0,0,500.0,525.0,4.0,4.0,163,7969,98.38271604938272,34.51196532577893,165.80258625929872,500.50354144310836,524.6676878424362,3.3579791911944525,3.4643431458988547,1.812494285462656,36.54675113787867,0.6033119881059646,0.8394947977986131,0.8660857864747137,0,0.0,54172.99937660113,0.7732915861763993,-75.0,-5.0
1,1,500.0,524.0,4.0,4.0,166,8478,104.66666666666669,32.910278329924324,166.95491894089992,500.4614895132074,523.7420428926548,3.812928022788404,3.4591327527488667,-4.826441690221567,41.435798195365614,0.5286912520841182,0.9532320056971008,0.8647831881872167,0,0.13377514841311622,54172.99937660113,0.7732915861763993,-75.0,-6.0
2,2,500.0,524.0,4.0,4.0,170,8743,107.93827160493828,34.0313383820616,172.5176291467929,500.0070855833461,523.5088369792338,3.551999046161223,3.6800423555314934,13.113726169843453,41.06535016362431,0.4912141268931525,0.8879997615403058,0.9200105888828732,0,0.008940289505096066,54172.99937660113,0.7732915861763993,-75.0,-6.0
3,3,499.0,524.0,4.0,4.0,177,8607,106.25925925925924,37.250164562658384,179.3553564042319,499.44696631460937,523.7702027477137,3.3732649524888503,3.4203561888952327,-1.9432712996470705,36.246966110147035,0.502579012249677,0.8433162381222125,0.8550890472238082,0,0.11733454199899652,54172.99937660113,0.7732915861763993,-76.0,-5.0
4,4,500.0,525.0,4.0,4.0,166,8317,102.679012345679,32.723996239590555,166.2279324448611,499.75997111428285,524.7575955098217,3.639216842851558,3.4589263594443547,0.0035227734633336842,39.545686803472364,0.3411360474021349,0.9098042107128896,0.8647315898610888,0,0.0910068082195128,54172.99937660113,0.7732915861763993,-74.0,-5.0
5,5,500.0,525.0,4.0,4.0,168,8647,106.75308641975307,32.57300664782039,169.56907377889922,499.9865746076952,524.8860976035688,3.3861835670205327,3.885136395353417,-3.6337245989276137,41.330117563433255,0.1146908761467084,0.8465458917551332,0.9712840988383544,0,0.045123271441178,54172.99937660113,0.7732915861763993,-74.0,-6.0
6,6,501.0,525.0,4.0,4.0,170,8536,105.38271604938272,34.438554299690125,173.0462657597327,500.98309763814,524.93779596683,3.5925333210394146,3.3739959967246733,-0.7481228091369386,38.079851017534104,0.06445953443099778,0.8981333302598536,0.8434989991811683,0,0.07864159933517413,54172.99937660113,0.7732915861763993,-73.0,-6.0
7,7,501.0,526.0,4.0,4.0,166,8181,101.0,34.73497543569764,168.74996571762134,501.3582672583107,525.7956159516093,3.3292136457257606,3.531507268412178,-1.013886275455833,36.93615152496084,0.4124660805618423,0.8323034114314402,0.8828768171030446,0,0.03003424283479028,54172.99937660113,0.7732915861763993,-73.0,-5.0
8,8,501.0,526.0,4.0,4.0,172,8732,107.80246913580248,35.62681045972258,176.68876753043912,501.2350554351871,525.6603693554948,3.381327824622541,3.638083519414385,-0.2097584165335456,38.646468634636435,0.4130375676594192,0.8453319561556353,0.9095208798535962,0,0.04630469171970408,54172.99937660113,0.7732915861763993,-73.0,-5.0
9,9,502.0,526.0,4.0,4.0,174,8477,104.6543209876543,35.476356408812826,174.56546306918804,501.7193103490538,525.9878029585078,3.2894313243050672,3.5728715809686484,-3.5939179875162472,36.92224529077829,0.2809545300746547,0.8223578310762668,0.8932178952421621,0,0.04461528840212914,54172.99937660113,0.7732915861763993,-72.0,-6.0
10,10,502.0,527.0,4.0,4.0,177,8577,105.88888888888887,36.16355166650259,176.07064645157683,501.6015867106405,526.6692620251498,3.609593969474152,3.312807200323732,-0.0953723557296375,37.56681589655266,0.5178037824757427,0.902398492368538,0.828201800080933,0,0.0174575137751809,54172.99937660113,0.7732915861763993,-72.0,-5.0
11,11,500.0,526.0,4.0,4.0,168,8385,103.51851851851852,33.232109681068934,167.1007601809304,500.3445407299298,526.4238840917138,3.753773293246215,3.4126133731974617,-5.254189110360629,40.24435776740837,0.5462472313784852,0.9384433233115536,0.8531533432993654,0,0.0712741233707117,54172.99937660113,0.7732915861763993,-73.0,-5.0
12,12,501.0,527.0,4.0,4.0,166,8667,107.0,33.123040356663154,170.76172546345285,500.71956933992,527.085289210576,3.6885489847413653,3.525769536516404,-0.26620384431387084,40.85632966121763,0.29311363761105763,0.9221372461853412,0.8814423841291009,0,0.015206402282430309,54172.99937660113,0.7732915861763993,-72.0,-6.0
13,13,501.0,526.0,4.0,4.0,173,8893,109.79012345679013,34.161459783689864,176.13629599809394,501.1684717232192,526.0045775006681,3.6884582944898177,3.4708146656558747,-3.4750244978125013,40.21852822624404,0.16853389877654426,0.9221145736224544,0.8677036664139687,0,0.015610835340870488,54172.99937660113,0.7732915861763993,-72.0,-6.0
14,14,501.0,526.0,4.0,4.0,176,8835,109.07407407407408,36.31031475319368,179.89367979193568,500.89435912595553,525.6842057863114,3.359325509199214,3.5937300203199225,91.82177755511141,37.92690536625405,0.3329954649362292,0.8398313772998035,0.8984325050799806,0,0.05697928196424217,54172.99937660113,0.7732915861763993,-73.0,-6.0
15,15,500.0,525.0,4.0,4.0,176,8500,104.93827160493828,36.1998382368026,176.18479593604354,500.14955744738404,525.2705229076142,3.5295167922725352,3.2869704147734646,-1.8714541280841035,36.44692728125748,0.30911174939192304,0.8823791980681338,0.8217426036933662,0,0.0390218519202834,54172.99937660113,0.7732915861763993,-74.0,-5.0
16,16,502.0,525.0,4.0,4.0,175,8642,106.69135802469135,37.155875189783,179.65802558343051,501.68436158921793,524.9660257726629,3.1896840372465256,3.631416277800137,0.1010362326533463,36.389289295301,0.31746157954024345,0.7974210093116314,0.9078540694500344,0,0.0015814223655040704,54172.99937660113,0.7732915861763993,-72.0,-5.0
17,17,500.0,525.0,4.0,4.0,173,8650,106.79012345679013,35.709636991417774,176.1447860659452,500.1293868871424,525.4952766653712,3.5664201920343883,3.4071180957091123,0.22858373599389284,38.17416706362263,0.5118983706026127,0.8916050480085971,0.8517795239272781,0,0.0490495363577248,54172.99937660113,0.7732915861763993,-74.0,-5.0
18,18,500.0,525.0,4.0,4.0,177,8571,105.8148148148148,36.045619624324786,177.26953050709665,499.8036268977912,525.0750356200931,3.290428213609286,3.5276229539066177,-6.711132844869592,36.46569144826376,0.21022069249696074,0.8226070534023215,0.8819057384766544,0,0.04475475817223351,54172.99937660113,0.7732915861763993,-74.0,-6.0
